epoch,-log p_dens(z_train),-log p_dens(x_train|z_train),loss_train,-log p_dens(z_test),-log p_dens(x_test|z_test),loss_test
46,-125.94482421875,108100.32108258853,107974.37625836978,-126.50283203125,111373.339937625,111246.83710559376
47,-123.5196875,109228.28089024553,109104.76120274553,-88.280205078125,111197.40000016613,111109.119795088
48,-128.05921875,107994.81785946162,107866.75864071162,-80.1802685546875,109939.81796991048,109859.6377013558
49,-128.31021484375,107527.3001993948,107398.98998455105,-84.295341796875,109840.28809344984,109755.99275165297
50,-128.8951953125,107444.11779005066,107315.22259473815,-82.01005859375,109670.40589963365,109588.3958410399
51,-130.210478515625,106871.18931043209,106740.97883191647,-77.0951318359375,110734.41995912652,110657.32482729059
52,-129.4484375,106757.92541761853,106628.47698011853,-67.292666015625,109318.99929382397,109251.70662780834
53,-131.223681640625,106302.13014039103,106170.90645875041,-69.130341796875,108940.66030030012,108871.52995850325
54,-132.362392578125,105771.04765162531,105638.68525904718,-69.627353515625,108664.78639635805,108595.15904284242
55,-131.84865234375,105376.97271514843,105245.12406280468,-74.269169921875,109017.08375900531,108942.81458908344
56,-132.776640625,105734.19393887442,105601.41729824942,-84.119375,108669.48152134595,108585.36214634596
57,-132.51029296875,104986.99234814178,104854.48205517304,-82.1615234375,108270.78074223103,108188.61921879352
58,-132.718291015625,104343.8872329308,104211.16894191518,-80.7091064453125,108168.86537881037,108088.15627236506
59,-131.0922265625,104207.01365977843,104075.92143321592,-76.5491455078125,108020.99922145138,107944.45007594356
60,-133.51244140625,103912.42275548953,103778.91031408329,-72.5543115234375,107825.36535340127,107752.81104187782
61,-131.7108984375,103677.90346251808,103546.19256408059,-70.516318359375,107698.2799168889,107627.76359852953
62,-132.4854296875,103458.86450439956,103326.37907471207,-65.595341796875,107472.47754246932,107406.88220067244
63,-130.9208984375,103149.22704211183,103018.30614367433,-60.259833984375,107457.25968945237,107396.99985546799
64,-134.561123046875,103030.6991627762,102896.13803972934,-51.6822314453125,107319.08707196437,107267.40484051906
65,-134.47962890625,102811.97829265475,102677.4986637485,-47.321474609375,107169.23256477361,107121.91109016424
66,-131.779267578125,102580.00193378347,102448.22266620533,-46.63494140625,107118.92318485917,107072.28824345293
